Airline,Emission,Profit,Tax,AfterTax,Distance
A,54162,285087,162486,122601,2036
B,66375,263699,199125,64574,2872
C,4065,121934,12195,109739,1897
D,68970,488673,206910,281763,2590
E,71369,165989,214107,-48118,1599
F,98851,-76271,296553,-372824,1602
G,46706,260194,140118,120076,1274
H,56916,-48554,170748,-219302,1894
I,76068,472833,228204,244629,1482
J,88756,135529,266268,-130739,2012
K,43013,316273,129039,187234,2876
L,4474,-149956,13422,-163378,2812
M,24368,240576,73104,167472,2743
O,39553,205128,118659,86469,1834
P,68784,450688,206352,244336,2291
Q,8013,-52199,24039,-76238,2748
R,70160,27217,210480,-183263,2956
S,42751,383186,128253,254933,2886
T,27599,177998,82797,95201,1780
U,76743,214989,230229,-15240,2671
V,87893,-159494,263679,-423173,2607
W ,18821,169270,56463,112807,1227
X,71163,338865,213489,125376,2364
Y,70248,-136776,210744,-347520,1582
Z,33142,-16487,99426,-115913,2670
AA,83438,499954,250314,249640,2674
BB,24254,158657,72762,85895,2944
CC,58821,-27770,176463,-204233,1002
DD,6377,-194246,19131,-213377,2192
EE,38634,352959,115902,237057,2083
FF,83772,301896,251316,50580,2889
GG,8024,70732,24072,46660,2409
HH,32560,383431,97680,285751,1566
II,70373,266235,211119,55116,2286
JJ,75892,342385,227676,114709,1518
KK,68584,-158452,205752,-364204,2210
LL,27600,267712,82800,184912,2487
MM,43287,-58811,129861,-188672,2627
OO,17316,395905,51948,343957,1772
PP,16104,79901,48312,31589,2388
QQ,54423,-57433,163269,-220702,2081
RR,92306,293518,276918,16600,2234
SS,38760,280861,116280,164581,2519
TT,80442,280009,241326,38683,1492
UU,21933,-87887,65799,-153686,1377
VV,61491,93868,184473,-90605,2987
WW,69578,390557,208734,181823,1968
XX,21478,68838,64434,4404,2857
YY,46990,72248,140970,-68722,2272
ZZ,17731,-160185,53193,-213378,1462
AAA,13140,43091,39420,3671,2107
BBB,38263,283018,114789,168229,1659
CCC,82304,247541,246912,629,1843
DDD,77807,461888,233421,228467,2521
EEE,49313,346224,147939,198285,1945
FFF,45778,112101,137334,-25233,2938
GGG,92686,494446,278058,216388,2445
HHH,43051,24107,129153,-105046,1475
III,63906,469428,191718,277710,2889
JJJ,25357,472103,76071,396032,2822
KKK,65550,330162,196650,133512,1795
LLL,10016,-90986,30048,-121034,1793
MMM,24830,277539,74490,203049,2878
OOO,64817,428785,194451,234334,1142
PPP,44903,-44374,134709,-179083,1577
QQQ,23456,123456,70368,53088,3672
